TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EAA,EAD,letters,words,-0.41938414450702505
EAA,EAE,letters,phrases,-0.5458649666601756
EAD,EAE,words,phrases,1.9166859938213006
EAD,EC,words,concrete elements,-0.08695717740988612
EAD,ECA,words,physical objects,-0.19766396048877255
EAD,ED,words,plasticity,-0.2513748503677322
EAD,EDA,words,light/shadow,-0.21786332789289983
EAD,MAB,words,part of a set,-1.040327123072943
EAE,EC,phrases,concrete elements,0.037722305982465176
EAE,ECA,phrases,physical objects,-0.10791826720580833
EAE,ED,phrases,plasticity,0.054248635427084864
EAE,EDA,phrases,light/shadow,0.10524758463075828
EAE,MAA,phrases,integrated in the layout,-0.391120992821409
EAE,MAB,phrases,part of a set,-3.1686283808504623
EAE,MCA,phrases,woodcut,-0.5073885115708252
EA,EE,text,paratext,0.1017298869638263
EAA,EE,letters,paratext,-0.04874076458663451
EAA,EEA,letters,caption,-0.100029993283489
EAD,EE,words,paratext,1.2211651179524456
EAD,EEA,words,caption,0.8885897788655746
EC,EE,concrete elements,paratext,0.5563493095420746
EC,EEA,concrete elements,caption,0.5480460058108655
ECA,EE,physical objects,paratext,0.554408526067642
ECA,EEA,physical objects,caption,0.5817291320671542
ED,EE,plasticity,paratext,0.6955138131727054
ED,EEA,plasticity,caption,0.6784402998137641
EDA,EE,light/shadow,paratext,0.746512762376379
EDA,EEA,light/shadow,caption,0.7294392490174377
EE,MAA,paratext,integrated in the layout,-0.7064840378228706
EE,MAB,paratext,part of a set,0.06658808084356907
EE,MCA,paratext,woodcut,-2.0994265293721033
EEA,MAA,caption,integrated in the layout,-0.5328739895727018
EEA,MAB,caption,part of a set,-0.11398416479825184
EEA,MCA,caption,woodcut,-2.15714202722839
EAD,EDB,words,3d and perspective,-0.5284743062488713
EAE,EDB,phrases,3d and perspective,0.27812940775172434
EA,ECB,text,persons or human body,-0.0018927441103310794
EA,MAE,text,title page/frontispiece,0.04283619791025778
EA,MAG,text,separate page,0.07002102723648829
EA,MCD,text,movable types,0.1017298869638263
EAD,EAF,words,sentences,1.5716623650365789
EAD,ECB,words,persons or human body,0.46984423080916926
EAD,MAE,words,title page/frontispiece,1.7472339296200334
EAD,MAG,words,separate page,1.1894562582251074
EAD,MCD,words,movable types,1.9130428225901142
EAE,EAF,phrases,sentences,2.811225486313281
EAE,ECB,phrases,persons or human body,1.3050170970065358
EAE,MAE,phrases,title page/frontispiece,2.982337402706035
EAE,MAG,phrases,separate page,1.662059045037766
EAE,MCD,phrases,movable types,3.2627888616172385
EAF,EC,sentences,concrete elements,-0.030373649043518865
EAF,ECA,sentences,physical objects,-0.053274051153597915
EAF,ECB,sentences,persons or human body,1.918745181954297
EAF,ED,sentences,plasticity,0.14441476431783337
EAF,EDA,sentences,light/shadow,0.19541371352150666
EAF,EDB,sentences,3d and perspective,0.7763802752795498
EAF,MAE,sentences,title page/frontispiece,3.933100474931367
EAF,MAG,sentences,separate page,2.5228799919502993
EAF,MCD,sentences,movable types,3.983432150481512
EC,MAE,concrete elements,title page/frontispiece,0.11718353937033923
EC,MAG,concrete elements,separate page,-0.23200751021316915
EC,MCD,concrete elements,movable types,-0.7873968955509784
ECA,ECB,physical objects,persons or human body,0.5364419795381931
ECA,MAE,physical objects,title page/frontispiece,-0.019058335815684682
ECA,MAG,physical objects,separate page,-0.2549079123232481
ECA,MCD,physical objects,movable types,-0.7537137692946898
ECB,ED,persons or human body,plasticity,0.6312536143693215
ECB,EDA,persons or human body,light/shadow,0.650543703845657
ECB,EDB,persons or human body,3d and perspective,1.2056316337780943
ECB,MAE,persons or human body,title page/frontispiece,2.4813398696469986
ECB,MAG,persons or human body,separate page,0.923562198252073
ECB,MCD,persons or human body,movable types,1.4247563412806314
ED,MAE,plasticity,title page/frontispiece,0.1220469512893789
ED,MAG,plasticity,separate page,-0.11380262521818456
ED,MCD,plasticity,movable types,-0.6126084821896264
EDA,MAE,light/shadow,title page/frontispiece,0.17304590049305232
EDA,MAG,light/shadow,separate page,-0.09195002167402748
EDA,MCD,light/shadow,movable types,-0.5616095329859528
EDB,MAE,3d and perspective,title page/frontispiece,0.5919557041421226
EDB,MAG,3d and perspective,separate page,0.20701462960941208
EDB,MCD,3d and perspective,movable types,0.07594055713845745
MAE,MAG,title page/frontispiece,separate page,3.2009518970629367
MAE,MCD,title page/frontispiece,movable types,4.854149133536546
MAG,MCD,separate page,movable types,3.29637146214162
EAA,EB,letters,abstract elements,0.030094498927783694
EAA,EBA,letters,geometric shapes,0.06457129544654877
EB,EC,abstract elements,concrete elements,-0.34778197602004074
EB,ECA,abstract elements,physical objects,-0.36277269649944177
EB,ED,abstract elements,plasticity,-0.398237724478703
EB,EDA,abstract elements,light/shadow,-0.41682904746010263
EBA,EC,geometric shapes,concrete elements,-0.6072139887432269
EBA,ECA,geometric shapes,physical objects,-0.6303168885785159
EBA,ED,geometric shapes,plasticity,-0.6506057454314085
EBA,EDA,geometric shapes,light/shadow,-0.6782637401027333
EB,EDB,abstract elements,3d and perspective,-0.7237442803720382
EBA,EDB,geometric shapes,3d and perspective,-1.2913643313562846
EA,MAC,text,compound of images,0.011532077992247949
EAA,MAC,letters,compound of images,0.054070040997140856
